Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress,Strain
0,-14235,50.153,-14285.2,100.146,0,0
100,-14229,50.6578,-14279.7,100.99,0,0
200,-14225,47.4463,-14272.5,101.324,0,0
300,-14219,46.6667,-14265.7,98.0825,0,0
400,-14215,40.7487,-14255.8,92.9657,0,0
500,-14209,35.2265,-14244.3,89.1834,0,0
600,-14205,45.3884,-14250.4,85.6211,0,0
700,-14199,48.6866,-14247.7,88.3197,0,0
800,-14195,71.156,-14266.2,99.1337,0,0
900,-14189,64.8593,-14253.9,110.914,0,0
1000,-14185,85.6317,-14270.7,126.779,0,0
1100,-14179,78.5645,-14257.6,135.901,0,0
1200,-14175.1,77.1451,-14252.2,141.926,0,0
1300,-14169.1,66.8545,-14235.9,139.631,0,0
1400,-14165.1,82.8278,-14247.9,139.122,0,0
1500,-14159.1,68.4754,-14227.5,139.626,0,0
1600,-14155,82.7423,-14237.8,150.813,0,0
1700,-14149,112.242,-14261.3,164.206,0,0
1800,-14145,96.6835,-14241.7,177.281,0,0
1900,-14139,95.4664,-14234.5,183.779,0,0
2000,-14135,79.8805,-14214.9,177.724,0,0
2100,-14129,74.7388,-14203.8,177.724,0,0
2200,-14125,68.9824,-14194,164.128,0,0
2300,-14119,82.6822,-14201.7,157.12,0,0
2400,-14115,74.7228,-14189.7,160.374,0,0
2500,-14109,92.8514,-14201.9,160.8,0,0
2600,-14105,110.794,-14215.8,181.681,0,0
2700,-14099,133.247,-14232.3,197.668,0,0
2800,-14095,125.809,-14220.8,221.917,0,0
2900,-14089,132.948,-14222,225.623,0,0
3000,-14085,104.951,-14190,227.963,0,0
3100,-14079.1,115.473,-14194.5,234.343,0,0
3200,-14075.1,126.777,-14201.8,225.627,0,0
3300,-14069,125.435,-14194.5,235.536,0,0
3400,-14065,161.541,-14226.6,251.896,0,0
3500,-14059,138.726,-14197.8,260.1,0,0
3600,-14055,155.775,-14210.8,276.836,0,0
3700,-14049,135.508,-14184.5,276.31,0,0
3800,-14045,121.026,-14166,268.358,0,0
3900,-14039,107.719,-14146.7,257.054,0,0
4000,-14035,106.004,-14141,236.6,0,0
4100,-14029,99.6358,-14128.7,232.798,0,0
4200,-14025,141.45,-14166.5,230.28,0,0
4300,-14019,137.228,-14156.2,241.191,0,0
4400,-14015,157.783,-14172.8,259.114,0,0
4500,-14009,180.577,-14189.6,289.324,0,0
4600,-14005,199.672,-14204.7,317.455,0,0
4700,-13999,144.84,-14143.9,326.781,0,0
4800,-13995.1,175.573,-14170.6,317.369,0,0
4900,-13989,138.527,-14127.6,316.745,0,0
5000,-13985,168.963,-14154,322.783,0,0
5100,-13979,173.413,-14152.4,326.49,0,0
5200,-13975,201.203,-14176.2,348.144,0,0
5300,-13969,188.998,-14158,366.238,0,0
5400,-13965,162.055,-14127.1,372.101,0,0
5500,-13959,196.811,-14155.8,366.136,0,0
5600,-13955,152.144,-14107.2,354.093,0,0
5700,-13949,141.563,-14090.6,335.91,0,0
5800,-13945,121.007,-14066,311.039,0,0
5900,-13939,141.724,-14080.7,298.944,0,0
6000,-13935,155.452,-14090.5,298.48,0,0
6100,-13929,177.42,-14106.4,308.366,0,0
6200,-13925,182.219,-14107.2,329.343,0,0
6300,-13919,219.98,-14139,350.856,0,0
6400,-13915,235.844,-14150.9,387.036,0,0
6500,-13909,240.736,-14149.8,407.054,0,0
6600,-13905,200.196,-14105.2,416.85,0,0
6700,-13899,177.649,-14076.7,420.816,0,0
6800,-13895,224.213,-14119.3,416.396,0,0
6900,-13889,217.906,-14106.9,424.73,0,0
7000,-13885,237.071,-14122.1,432.925,0,0
7100,-13879,234.584,-14113.6,436.512,0,0
7200,-13875,256.941,-14132,462.196,0,0
7300,-13869,228.885,-14097.9,470.703,0,0
7400,-13865,202.22,-14067.2,456.721,0,0
7500,-13859,224.525,-14083.5,435.716,0,0
7600,-13855,171.05,-14026.1,420.62,0,0
7700,-13849,155.678,-14004.7,395.656,0,0
7800,-13845,197.046,-14042.1,375.808,0,0
7900,-13839,186.744,-14025.8,378.386,0,0
8000,-13835,231.573,-14066.6,392.792,0,0
8100,-13829,245.334,-14074.3,410.227,0,0
8200,-13825,266.761,-14091.8,452.014,0,0
8300,-13819,287.82,-14106.8,476.504,0,0
8400,-13815,289.76,-14104.8,510.538,0,0
8500,-13809,242.087,-14051.1,514.573,0,0
8600,-13805,246.779,-14051.8,515.267,0,0
8700,-13799,266.174,-14065.2,504.394,0,0
8800,-13795,283.092,-14078.1,521.463,0,0
8900,-13789,280.585,-14069.6,531.367,0,0
9000,-13785,297.315,-14082.3,549.31,0,0
9100,-13779,276.505,-14055.5,555.433,0,0
9200,-13775,268.833,-14043.8,555.35,0,0
