Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress,Strain
0,-11190.3,0.189837,-11190.5,0.481528,6.92926e-05,0.05
100,-11190.1,0.201532,-11190.3,0.511158,0.00427399,0.1
200,-11189.9,0.127101,-11190,0.322407,0.00580978,0.15
300,-11189.7,0.0808703,-11189.8,0.20513,0.00649651,0.2
400,-11189.6,0.0926813,-11189.6,0.235083,0.00650099,0.25
500,-11189.4,0.15928,-11189.5,0.403965,0.00686336,0.3
600,-11189.2,0.174334,-11189.3,0.442212,0.00730571,0.35
700,-11189,0.081988,-11189,0.207978,0.00759561,0.4
800,-11188.7,0.074853,-11188.8,0.189862,0.00793481,0.45
900,-11188.5,0.152906,-11188.7,0.387847,0.00788714,0.5
1000,-11188.3,0.181352,-11188.5,0.46001,0.00788345,0.55
1100,-11188.1,0.156715,-11188.3,0.397478,0.00782526,0.6
1200,-11187.9,0.128812,-11188,0.326736,0.00764851,0.65
1300,-11187.7,0.0708255,-11187.8,0.17965,0.00769651,0.7
1400,-11187.5,0.0823989,-11187.6,0.208996,0.00793611,0.75
1500,-11187.3,0.150842,-11187.4,0.382609,0.00844902,0.8
1600,-11187,0.174295,-11187.2,0.44209,0.00866114,0.85
1700,-11186.8,0.129666,-11186.9,0.328926,0.00879539,0.9
1800,-11186.5,0.110237,-11186.6,0.279604,0.00904546,0.95
1900,-11186.3,0.118055,-11186.4,0.299428,0.00881334,1
2000,-11186,0.162906,-11186.2,0.413231,0.00865596,1.05
2100,-11185.8,0.20053,-11186,0.50863,0.00855787,1.1
2200,-11185.6,0.131375,-11185.7,0.333224,0.00850161,1.15
2300,-11185.3,0.0678684,-11185.4,0.172164,0.00893269,1.2
2400,-11185.1,0.0903559,-11185.2,0.229194,0.00921839,1.25
2500,-11184.8,0.155338,-11185,0.394023,0.00940221,1.3
2600,-11184.6,0.173765,-11184.7,0.440699,0.00974059,1.35
2700,-11184.3,0.196115,-11184.5,0.497465,0.00974625,1.4
2800,-11184,0.113779,-11184.2,0.288615,0.00949273,1.45
2900,-11183.8,0.0695192,-11183.9,0.176339,0.00931283,1.5
3000,-11183.5,0.107758,-11183.7,0.273318,0.00927197,1.55
3100,-11183.3,0.200681,-11183.5,0.509033,0.00937727,1.6
3200,-11183,0.146697,-11183.2,0.3721,0.00966758,1.65
3300,-11182.8,0.0799256,-11182.8,0.202727,0.00998095,1.7
3400,-11182.5,0.0507246,-11182.5,0.128661,0.0102898,1.75
3500,-11182.2,0.138806,-11182.3,0.352082,0.0106143,1.8
3600,-11181.9,0.206687,-11182.1,0.524232,0.0105051,1.85
3700,-11181.6,0.206309,-11181.8,0.523316,0.0102107,1.9
3800,-11181.3,0.0943532,-11181.4,0.239323,0.0101828,1.95
3900,-11181.1,0.0552563,-11181.1,0.14016,0.0101168,2
4000,-11180.8,0.096245,-11180.9,0.244124,0.0101833,2.05
4100,-11180.5,0.164689,-11180.7,0.417725,0.0105097,2.1
4200,-11180.2,0.173503,-11180.4,0.440101,0.0108836,2.15
4300,-11179.9,0.135866,-11180,0.344601,0.0112501,2.2
4400,-11179.6,0.0819524,-11179.7,0.207881,0.0112632,2.25
4500,-11179.3,0.130709,-11179.4,0.331561,0.0110909,2.3
4600,-11179,0.181619,-11179.2,0.460657,0.0109998,2.35
4700,-11178.7,0.198142,-11178.9,0.502621,0.010842,2.4
4800,-11178.4,0.133637,-11178.6,0.33894,0.0107444,2.45
4900,-11178.1,0.0859918,-11178.2,0.218105,0.0107812,2.5
5000,-11177.8,0.0755845,-11177.9,0.191726,0.0112231,2.55
5100,-11177.5,0.141017,-11177.6,0.357678,0.0116607,2.6
5200,-11177.2,0.162306,-11177.3,0.411703,0.0116693,2.65
5300,-11176.9,0.195974,-11177.1,0.497078,0.0117997,2.7
5400,-11176.5,0.133133,-11176.7,0.337683,0.0117164,2.75
5500,-11176.2,0.0880266,-11176.3,0.223305,0.0114638,2.8
5600,-11175.9,0.0838224,-11176,0.212617,0.0113492,2.85
5700,-11175.6,0.168876,-11175.8,0.428343,0.0112308,2.9
5800,-11175.3,0.171798,-11175.5,0.435728,0.0116506,2.95
5900,-11175,0.112795,-11175.1,0.28612,0.01203,3
6000,-11174.6,0.0511062,-11174.7,0.129631,0.0121384,3.05
6100,-11174.3,0.114709,-11174.4,0.290973,0.0124379,3.1
6200,-11174,0.178179,-11174.1,0.451946,0.0124752,3.15
