Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress,Strain
38900,-189931,1095.18,-191026,164.549,0.00370761,39
39000,-189929,1080.36,-191009,162.323,0.00380291,39.1
39100,-189926,1085.44,-191012,163.086,0.00417865,39.2
39200,-189924,1089.93,-191014,163.75,0.00434065,39.3
39300,-189921,1079.36,-191001,162.173,0.0042222,39.4
39400,-189919,1087.16,-191006,163.334,0.00425113,39.5
39500,-189916,1081.82,-190998,162.538,0.00446557,39.6
39600,-189914,1091.24,-191005,163.955,0.00433822,39.7
39700,-189911,1084.36,-190995,162.926,0.00430282,39.8
39800,-189908,1087.63,-190996,163.424,0.00451544,39.9
39900,-189906,1086.59,-190992,163.261,0.00451704,40
