Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress,Strain
0,-11190.3,0.189837,-11190.5,0.481528,6.92926e-05,0.1
100,-11189.9,0.211372,-11190.1,0.536114,0.00443236,0.2
200,-11189.5,0.153841,-11189.7,0.390237,0.00611805,0.3
300,-11189.1,0.10837,-11189.2,0.274875,0.00691927,0.4
400,-11188.7,0.0997382,-11188.8,0.252984,0.00697366,0.5
500,-11188.3,0.154557,-11188.5,0.391993,0.00734681,0.6
600,-11187.9,0.177951,-11188.1,0.45138,0.0077991,0.7
700,-11187.5,0.0924057,-11187.6,0.234412,0.00814009,0.8
800,-11187,0.0833028,-11187.1,0.211287,0.0086083,0.9
900,-11186.5,0.154803,-11186.7,0.392657,0.00873662,1
1000,-11186,0.19864,-11186.2,0.503861,0.00891123,1.1
1100,-11185.5,0.195648,-11185.7,0.496212,0.0089842,1.2
1200,-11185.1,0.16319,-11185.2,0.41396,0.0088865,1.3
1300,-11184.6,0.0812512,-11184.7,0.206074,0.00895075,1.4
1400,-11184.1,0.0771059,-11184.2,0.195572,0.0091557,1.5
1500,-11183.6,0.155186,-11183.7,0.393645,0.00965507,1.6
1600,-11183,0.191812,-11183.2,0.486504,0.00990726,1.7
1700,-11182.5,0.151545,-11182.6,0.384431,0.0101586,1.8
1800,-11181.9,0.127935,-11182,0.324484,0.0105539,1.9
1900,-11181.3,0.134183,-11181.4,0.34034,0.0104652,2
2000,-11180.7,0.180056,-11180.9,0.456741,0.0104394,2.1
2100,-11180.2,0.22406,-11180.4,0.568296,0.0103908,2.2
2200,-11179.6,0.147931,-11179.8,0.375229,0.0103375,2.3
2300,-11179,0.0705231,-11179.1,0.178893,0.0107482,2.4
2400,-11178.4,0.073569,-11178.5,0.186613,0.0110232,2.5
2500,-11177.8,0.13834,-11178,0.350912,0.0112808,2.6
2600,-11177.2,0.174341,-11177.4,0.442158,0.0117253,2.7
2700,-11176.5,0.228338,-11176.8,0.579202,0.011854,2.8
2800,-11175.9,0.163042,-11176.1,0.413562,0.0117427,2.9
2900,-11175.3,0.0928575,-11175.3,0.23553,0.0116578,3
3000,-11174.6,0.0869288,-11174.7,0.220497,0.0116403,3.1
3100,-11174,0.180511,-11174.2,0.457864,0.0117272,3.2
3200,-11173.3,0.172658,-11173.5,0.437955,0.0119785,3.3
3300,-11172.7,0.124802,-11172.8,0.316542,0.0122751,3.4
3400,-11172,0.0632907,-11172.1,0.160538,0.0126266,3.5
3500,-11171.3,0.110835,-11171.4,0.281138,0.0130141,3.6
3600,-11170.6,0.193909,-11170.8,0.491825,0.0129823,3.7
3700,-11169.9,0.256682,-11170.1,0.651086,0.0127932,3.8
3800,-11169.2,0.181605,-11169.4,0.460616,0.0128078,3.9
3900,-11168.5,0.0941206,-11168.6,0.238745,0.0127044,4
4000,-11167.8,0.0636643,-11167.9,0.161478,0.012738,4.1
4100,-11167.1,0.113738,-11167.2,0.28849,0.013028,4.2
4200,-11166.4,0.173304,-11166.5,0.439618,0.0133919,4.3
4300,-11165.6,0.206001,-11165.8,0.52247,0.0137803,4.4
4400,-11164.8,0.150482,-11165,0.381724,0.0138306,4.5
4500,-11164.1,0.131791,-11164.2,0.334293,0.013781,4.6
4600,-11163.4,0.137517,-11163.5,0.348797,0.0137595,4.7
4700,-11162.6,0.19098,-11162.8,0.484467,0.0136112,4.8
4800,-11161.9,0.179864,-11162.1,0.456182,0.0135061,4.9
4900,-11161.1,0.144932,-11161.3,0.367606,0.0135097,5
5000,-11160.4,0.081508,-11160.5,0.206748,0.0139718,5.1
5100,-11159.6,0.0938666,-11159.7,0.238082,0.014313,5.2
5200,-11158.8,0.112368,-11158.9,0.285049,0.0143593,5.3
5300,-11158,0.213712,-11158.3,0.542065,0.0146341,5.4
5400,-11157.2,0.221456,-11157.5,0.56173,0.0145242,5.5
5500,-11156.5,0.169238,-11156.6,0.429267,0.0143641,5.6
5600,-11155.7,0.07934,-11155.8,0.201229,0.0142117,5.7
5700,-11154.9,0.0838355,-11155,0.212663,0.0140964,5.8
