Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress,Strain
0,-25767.8,0.240921,-25768,0.26819,3.86765e-05,0.1
100,-25767.2,0.309838,-25767.5,0.344886,0.00263877,0.2
200,-25766.6,0.255823,-25766.8,0.284775,0.00359872,0.3
300,-25766,0.221509,-25766.2,0.246574,0.00421205,0.4
400,-25765.3,0.32128,-25765.6,0.357626,0.00448976,0.5
500,-25764.6,0.346643,-25765,0.385873,0.00456451,0.6
600,-25764,0.318366,-25764.3,0.354381,0.00477086,0.7
700,-25763.3,0.287413,-25763.5,0.319939,0.00489497,0.8
800,-25762.5,0.210363,-25762.8,0.234164,0.00502212,0.9
900,-25761.8,0.197195,-25762,0.219501,0.00522585,1
1000,-25761,0.294513,-25761.3,0.327844,0.00545993,1.1
1100,-25760.2,0.336391,-25760.5,0.374454,0.00572024,1.2
1200,-25759.3,0.30565,-25759.7,0.340232,0.00595913,1.3
1300,-25758.5,0.272405,-25758.7,0.303224,0.00619192,1.4
1400,-25757.5,0.326242,-25757.9,0.363151,0.00638743,1.5
1500,-25756.6,0.44553,-25757,0.495943,0.00661836,1.6
1600,-25755.6,0.562711,-25756.2,0.626371,0.00675641,1.7
1700,-25754.6,0.550105,-25755.2,0.612354,0.00677904,1.8
1800,-25753.7,0.466992,-25754.1,0.519815,0.00687875,1.9
1900,-25752.7,0.462524,-25753.1,0.514855,0.00690838,2
2000,-25751.7,0.525725,-25752.2,0.585211,0.00696711,2.1
2100,-25750.7,0.523744,-25751.2,0.583,0.00704769,2.2
2200,-25749.7,0.454205,-25750.1,0.50561,0.00710708,2.3
2300,-25748.6,0.391113,-25749,0.435354,0.00734403,2.4
2400,-25747.5,0.331006,-25747.9,0.368455,0.00746712,2.5
2500,-25746.5,0.330752,-25746.8,0.368184,0.00761401,2.6
2600,-25745.3,0.409493,-25745.7,0.455813,0.00792454,2.7
2700,-25744.2,0.423564,-25744.6,0.471504,0.00808116,2.8
2800,-25743,0.358816,-25743.3,0.399405,0.00825015,2.9
2900,-25741.8,0.303625,-25742.1,0.337972,0.00834971,3
3000,-25740.6,0.350692,-25740.9,0.390384,0.00839952,3.1
3100,-25739.4,0.449514,-25739.8,0.500361,0.00850382,3.2
3200,-25738.1,0.386852,-25738.5,0.430634,0.00848005,3.3
3300,-25736.9,0.294924,-25737.2,0.328293,0.00852101,3.4
3400,-25735.7,0.237261,-25735.9,0.264099,0.00856643,3.5
3500,-25734.5,0.196862,-25734.7,0.219144,0.00863824,3.6
3600,-25733.2,0.2106,-25733.4,0.234422,0.00878261,3.7
3700,-25732,0.21957,-25732.2,0.24442,0.00889232,3.8
3800,-25730.7,0.174573,-25730.8,0.194327,0.00917938,3.9
3900,-25729.3,0.179121,-25729.5,0.199388,0.00940525,4
4000,-25727.9,0.160074,-25728.1,0.178193,0.00956122,4.1
4100,-25726.6,0.216965,-25726.8,0.241506,0.00976479,4.2
4200,-25725.1,0.286647,-25725.4,0.319088,0.0098962,4.3
4300,-25723.7,0.324599,-25724,0.361322,0.0100545,4.4
4400,-25722.3,0.313228,-25722.6,0.348673,0.0100506,4.5
4500,-25720.8,0.29769,-25721.1,0.331371,0.010068,4.6
4600,-25719.4,0.296415,-25719.7,0.32995,0.0101117,4.7
4700,-25717.9,0.335198,-25718.3,0.373129,0.0100616,4.8
4800,-25716.5,0.311389,-25716.8,0.346616,0.0101533,4.9
4900,-25715,0.244253,-25715.3,0.271896,0.0101666,5
5000,-25713.6,0.226784,-25713.8,0.252445,0.0103201,5.1
5100,-25712.1,0.310054,-25712.4,0.345131,0.0105091,5.2
5200,-25710.6,0.334621,-25710.9,0.37249,0.010556,5.3
5300,-25709,0.321288,-25709.4,0.357628,0.010798,5.4
5400,-25707.5,0.395666,-25707.9,0.440447,0.0109441,5.5
5500,-25705.9,0.456671,-25706.3,0.508335,0.0110378,5.6
5600,-25704.3,0.466795,-25704.8,0.519605,0.0110536,5.7
5700,-25702.7,0.528689,-25703.3,0.588518,0.0110325,5.8
5800,-25701.1,0.624405,-25701.8,0.695036,0.0110684,5.9
5900,-25699.6,0.547165,-25700.1,0.609086,0.0109102,6
6000,-25698,0.469941,-25698.5,0.523101,0.0109217,6.1
6100,-25696.5,0.460452,-25696.9,0.512546,0.0109069,6.2
6200,-25694.9,0.486824,-25695.4,0.541918,0.0108851,6.3
6300,-25693.4,0.453591,-25693.8,0.504897,0.0109932,6.4
6400,-25691.8,0.399064,-25692.2,0.444227,0.0110014,6.5
6500,-25690.2,0.340798,-25690.5,0.379348,0.0112416,6.6
6600,-25688.6,0.368138,-25688.9,0.40979,0.0113437,6.7
6700,-25686.9,0.377541,-25687.3,0.420269,0.0114171,6.8
6800,-25685.3,0.449456,-25685.7,0.500294,0.0115529,6.9
6900,-25683.6,0.427196,-25684.1,0.475546,0.0114851,7
7000,-25682,0.372342,-25682.4,0.414462,0.0115878,7.1
7100,-25680.3,0.359611,-25680.7,0.400293,0.0114829,7.2
7200,-25678.7,0.387842,-25679.1,0.431734,0.0113905,7.3
7300,-25677.1,0.336644,-25677.4,0.374726,0.0114183,7.4
7400,-25675.5,0.314338,-25675.8,0.349909,0.0112977,7.5
7500,-25673.9,0.271266,-25674.1,0.30196,0.0113347,7.6
7600,-25672.2,0.15681,-25672.4,0.17455,0.0113539,7.7
7700,-25670.6,0.106049,-25670.7,0.118049,0.0115287,7.8
7800,-25668.9,0.190207,-25669.1,0.211725,0.0116473,7.9
7900,-25667.3,0.267187,-25667.5,0.297426,0.0117369,8
8000,-25665.6,0.258341,-25665.8,0.287568,0.0119707,8.1
8100,-25663.8,0.186311,-25664,0.207398,0.0119821,8.2
8200,-25662.1,0.216097,-25662.3,0.240538,0.0121178,8.3
8300,-25660.4,0.282899,-25660.7,0.314908,0.0121168,8.4
8400,-25658.7,0.353805,-25659,0.393842,0.0120617,8.5
8500,-25656.9,0.391983,-25657.3,0.436331,0.0120693,8.6
8600,-25655.2,0.345112,-25655.6,0.384168,0.0118772,8.7
8700,-25653.6,0.248125,-25653.8,0.27619,0.0118914,8.8
8800,-25651.9,0.19343,-25652,0.215317,0.0118526,8.9
8900,-25650.2,0.209356,-25650.4,0.233051,0.0119102,9
9000,-25648.4,0.323755,-25648.8,0.360375,0.0120031,9.1
9100,-25646.7,0.341143,-25647.1,0.379754,0.0120103,9.2
9200,-25645,0.290548,-25645.3,0.323411,0.0122329,9.3
9300,-25643.2,0.312515,-25643.5,0.347877,0.0122649,9.4
9400,-25641.5,0.341522,-25641.8,0.38017,0.0123534,9.5
9500,-25639.7,0.441724,-25640.1,0.491688,0.0123748,9.6
9600,-25638,0.568423,-25638.5,0.632751,0.0123016,9.7
9700,-25636.2,0.592495,-25636.8,0.659517,0.012287,9.8
9800,-25634.5,0.511217,-25635,0.569063,0.0120443,9.9
9900,-25632.8,0.512666,-25633.3,0.570673,0.0120216,10
10000,-25631.1,0.534369,-25631.6,0.594813,0.0119327,10.1
10100,-25629.4,0.507755,-25629.9,0.565222,0.0118106,10.2
10200,-25627.7,0.466435,-25628.2,0.519199,0.0118616,10.3
10300,-25626,0.482473,-25626.5,0.537067,0.0117986,10.4
10400,-25624.3,0.47021,-25624.8,0.523414,0.0119312,10.5
10500,-25622.6,0.437714,-25623,0.487232,0.0120079,10.6
10600,-25620.9,0.439865,-25621.3,0.489646,0.0120457,10.7
10700,-25619.1,0.509897,-25619.7,0.567573,0.012111,10.8
10800,-25617.4,0.509648,-25617.9,0.567324,0.0120794,10.9
10900,-25615.7,0.471018,-25616.2,0.524312,0.0120624,11
11000,-25614,0.494831,-25614.5,0.550807,0.01191,11.1
11100,-25612.3,0.505107,-25612.8,0.562265,0.0118518,11.2
11200,-25610.6,0.481491,-25611.1,0.535967,0.0117256,11.3
11300,-25609,0.399803,-25609.4,0.445038,0.0115327,11.4
11400,-25607.3,0.305601,-25607.7,0.340178,0.0115002,11.5
11500,-25605.7,0.226587,-25605.9,0.252222,0.0114291,11.6
11600,-25604.1,0.243653,-25604.3,0.271223,0.0114929,11.7
11700,-25602.4,0.279843,-25602.7,0.311506,0.0115668,11.8
11800,-25600.8,0.289699,-25601.1,0.322482,0.0116176,11.9
11900,-25599.1,0.200871,-25599.3,0.223592,0.0117365,12
12000,-25597.4,0.196484,-25597.6,0.218722,0.0117926,12.1
12100,-25595.7,0.253704,-25596,0.282403,0.0118409,12.2
12200,-25594,0.314395,-25594.3,0.349968,0.0117902,12.3
12300,-25592.4,0.380097,-25592.7,0.423114,0.0117418,12.4
12400,-25590.7,0.413021,-25591.1,0.459742,0.0116514,12.5
12500,-25589.1,0.304938,-25589.4,0.33945,0.0114568,12.6
12600,-25587.4,0.204092,-25587.6,0.227175,0.0113763,12.7
12700,-25585.8,0.172037,-25586,0.191497,0.0113128,12.8
12800,-25584.2,0.265386,-25584.5,0.295425,0.0113221,12.9
12900,-25582.6,0.304904,-25582.9,0.339397,0.0113461,13
13000,-25581,0.240318,-25581.2,0.267517,0.0113529,13.1
13100,-25579.3,0.206328,-25579.6,0.229672,0.0115269,13.2
13200,-25577.7,0.22132,-25577.9,0.246353,0.0115548,13.3
13300,-25576,0.289142,-25576.3,0.321868,0.0115712,13.4
13400,-25574.4,0.403361,-25574.8,0.448987,0.0116583,13.5
13500,-25572.7,0.471963,-25573.2,0.525369,0.0115325,13.6
13600,-25571.1,0.47544,-25571.6,0.529222,0.0114609,13.7
13700,-25569.5,0.47282,-25569.9,0.526292,0.0112817,13.8
13800,-25567.9,0.451748,-25568.3,0.502815,0.01109,13.9
13900,-25566.3,0.475325,-25566.8,0.528973,0.011056,14
14000,-25564.8,0.497539,-25565.3,0.55351,0.010876,14.1
14100,-25563.2,0.506982,-25563.7,0.563528,0.0108044,14.2
14200,-25561.7,0.5863,-25562.3,0.65052,0.0107812,14.3
14300,-25560.1,0.734221,-25560.9,0.8118,0.0107859,14.4
14400,-25558.6,1.12451,-25559.7,1.23815,0.0108202,14.5
14500,-25557,2.10044,-25559.1,2.30738,0.0107844,14.6
14600,-25555.5,3.66669,-25559.2,4.02409,0.0107744,14.7
14700,-25554,5.63692,-25559.6,6.18819,0.0104564,14.8
14800,-25552.5,8.50824,-25561.1,9.35735,0.00995104,14.9
14900,-25551.2,12.8234,-25564,14.1425,0.00923844,15
15000,-25550.1,16.6934,-25566.8,18.4848,0.0080744,15.1
15100,-25549.2,17.7326,-25566.9,19.7498,0.0065113,15.2
15200,-25548.5,18.1587,-25566.7,20.2556,0.00457849,15.3
15300,-25548.2,19.7011,-25567.9,21.929,0.00271047,15.4
15400,-25548.1,21.611,-25569.7,24.0859,0.00153263,15.5
15500,-25548.1,25.7811,-25573.9,28.7661,0.00113042,15.6
15600,-25548,31.2352,-25579.2,34.7876,0.00130286,15.7
15700,-25547.8,37.4723,-25585.3,41.6501,0.00160533,15.8
15800,-25547.6,44.0733,-25591.7,48.9559,0.00186113,15.9
15900,-25547.3,50.2869,-25597.5,55.8553,0.00191983,16
16000,-25546.9,53.6411,-25600.5,59.5576,0.00204058,16.1
16100,-25546.5,54.8628,-25601.4,60.9038,0.00239074,16.2
16200,-25546.1,56.1987,-25602.3,62.3387,0.00282545,16.3
16300,-25545.7,55.7084,-25601.4,61.7784,0.00329179,16.4
16400,-25545.3,54.6491,-25600,60.6561,0.00279029,16.5
16500,-25545,55.2914,-25600.3,61.3998,0.00176706,16.6
16600,-25544.7,56.2631,-25601,62.5113,0.00106313,16.7
16700,-25544.5,56.203,-25600.7,62.4491,0.000216514,16.8
16800,-25544.4,52.634,-25597.1,58.4525,-0.000132802,16.9
16900,-25544.4,50.5756,-25594.9,56.1696,0.000347218,17
17000,-25544.3,52.2523,-25596.6,58.0258,0.00116549,17.1
17100,-25544.1,52.6747,-25596.8,58.5249,0.00166338,17.2
17200,-25543.9,51.8807,-25595.8,57.673,0.00193498,17.3
17300,-25543.5,51.3342,-25594.9,57.0639,0.00191524,17.4
17400,-25543.1,49.7037,-25592.8,55.3095,0.002118,17.5
17500,-25542.6,51.7586,-25594.4,57.596,0.00291442,17.6
17600,-25542.1,53.5038,-25595.6,59.5054,0.00369913,17.7
17700,-25541.5,53.7662,-25595.3,59.7811,0.00417167,17.8
17800,-25541,53.1033,-25594.1,59.0411,0.00383609,17.9
17900,-25540.5,52.4266,-25592.9,58.3235,0.00289817,18
18000,-25540.1,52.506,-25592.6,58.4244,0.00251632,18.1
18100,-25539.7,51.0265,-25590.7,56.7139,0.00256549,18.2
18200,-25539.3,51.4911,-25590.8,57.2446,0.00276086,18.3
18300,-25538.8,53.7682,-25592.6,59.7444,0.00314225,18.4
18400,-25538.3,55.2649,-25593.5,61.3509,0.00399662,18.5
18500,-25537.6,54.6634,-25592.3,60.636,0.0051123,18.6
