Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress,Strain
0,-11104.6,42.0812,-11146.7,106.742,0.000163737,0.1
100,-11103.7,48.5522,-11152.3,123.151,0.00783027,0.2
200,-11103.3,35.9956,-11139.3,91.305,0.00336215,0.3
300,-11103.4,52.834,-11156.2,134.016,0.00255405,0.4
400,-11103.1,35.413,-11138.5,89.8313,0.00466553,0.5
500,-11102.8,50.1384,-11152.9,127.177,0.00624329,0.6
600,-11102.3,46.9809,-11149.3,119.169,0.00764134,0.7
700,-11101.8,35.3752,-11137.2,89.7238,0.00971484,0.8
800,-11101.2,42.5933,-11143.7,108.044,0.0144749,0.9
900,-11100.1,33.7702,-11133.9,85.653,0.0152827,1
1000,-11099.5,48.0487,-11147.5,121.885,0.0106126,1.1
1100,-11099.1,53.8972,-11152.9,136.71,0.00888198,1.2
1200,-11098.7,42.4385,-11141.1,107.647,0.00547081,1.3
1300,-11098.6,37.1979,-11135.8,94.3546,0.00479466,1.4
1400,-11098.3,47.9287,-11146.2,121.563,0.00494703,1.5
1500,-11098,32.0886,-11130.1,81.3915,0.00585605,1.6
1600,-11097.5,40.3094,-11137.8,102.244,0.0132979,1.7
1700,-11096.3,42.4328,-11138.8,107.638,0.0161991,1.8
1800,-11095.6,43.8075,-11139.4,111.12,0.0130706,1.9
1900,-11094.9,45.5264,-11140.4,115.485,0.013918,2
2000,-11094.1,39.5427,-11133.7,100.3,0.0109932,2.1
2100,-11093.8,41.6083,-11135.5,105.542,0.00644635,2.2
2200,-11093.7,33.6058,-11127.3,85.2465,0.00368658,2.3
2300,-11093.6,53.0322,-11146.6,134.514,0.00484894,2.4
2400,-11093.1,30.893,-11124,78.3655,0.00857108,2.5
2500,-11092.4,46.3417,-11138.8,117.547,0.0129313,2.6
2600,-11091.5,42.6422,-11134.2,108.167,0.0151544,2.7
2700,-11090.6,39.1479,-11129.8,99.3103,0.0162601,2.8
2800,-11089.7,41.9366,-11131.6,106.372,0.0169142,2.9
2900,-11088.8,48.4228,-11137.2,122.824,0.0155595,3
3000,-11088.1,36.6788,-11124.8,93.0383,0.0101743,3.1
3100,-11087.9,45.9706,-11133.9,116.607,0.00690217,3.2
3200,-11087.5,40.6533,-11128.2,103.118,0.00825597,3.3
3300,-11087,52.4053,-11139.4,132.931,0.0116522,3.4
3400,-11086.1,42.1424,-11128.2,106.896,0.0136687,3.5
3500,-11085.3,29.2617,-11114.6,74.2208,0.0160016,3.6
3600,-11084.3,40.357,-11124.6,102.37,0.0197532,3.7
3700,-11083.1,47.275,-11130.3,119.907,0.0184414,3.8
3800,-11082.2,40.8219,-11123,103.555,0.0151634,3.9
3900,-11081.6,49.369,-11131,125.228,0.0105249,4
4000,-11081.3,35.3362,-11116.7,89.6293,0.00678533,4.1
4100,-11081,40.312,-11121.3,102.251,0.00924355,4.2
4200,-11080.3,52.6345,-11133,133.513,0.00958181,4.3
4300,-11079.9,43.3876,-11123.2,110.044,0.0110751,4.4
4400,-11079,31.1423,-11110.1,78.9895,0.0167933,4.5
4500,-11077.9,39.5895,-11117.5,100.42,0.019128,4.6
4600,-11076.7,42.6044,-11119.3,108.064,0.0190143,4.7
4700,-11075.9,47.2091,-11123.1,119.751,0.0146163,4.8
4800,-11075.2,56.678,-11131.9,143.761,0.0123803,4.9
4900,-11074.7,28.5514,-11103.2,72.4212,0.0100429,5
5000,-11074.2,54.2814,-11128.5,137.676,0.0107349,5.1
5100,-11073.6,38.8278,-11112.4,98.4915,0.00950575,5.2
5200,-11073.1,47.7615,-11120.9,121.142,0.0130462,5.3
5300,-11072,33.1698,-11105.2,84.1355,0.0182062,5.4
5400,-11071,45.0134,-11116,114.18,0.0172138,5.5
5500,-11070,43.4153,-11113.4,110.121,0.0192479,5.6
5600,-11068.9,51.3874,-11120.3,130.349,0.0175059,5.7
5700,-11068.1,48.8055,-11117,123.791,0.0147363,5.8
5800,-11067.4,27.1115,-11094.5,68.7673,0.0135309,5.9
5900,-11066.8,52.5036,-11119.3,133.167,0.0109638,6
6000,-11066.2,53.7178,-11119.9,136.272,0.0137069,6.1
6100,-11065.2,33.7914,-11099,85.7105,0.017054,6.2
6200,-11064.2,41.3664,-11105.6,104.936,0.0186705,6.3
6300,-11063.1,34.4377,-11097.5,87.3536,0.0183736,6.4
6400,-11062.2,50.668,-11112.9,128.527,0.0161392,6.5
6500,-11061.4,46.3592,-11107.7,117.588,0.0174875,6.6
6600,-11060.4,35.5238,-11095.9,90.102,0.0129125,6.7
6700,-11060.1,45.8695,-11106,116.357,0.00961545,6.8
6800,-11059.5,50.4075,-11109.9,127.858,0.0127663,6.9
6900,-11058.6,33.2965,-11091.9,84.4641,0.0129638,7
7000,-11058,43.343,-11101.3,109.943,0.0157126,7.1
7100,-11056.9,41.9274,-11098.8,106.355,0.0182956,7.2
7200,-11055.9,45.4256,-11101.3,115.232,0.0183584,7.3
7300,-11054.8,34.9339,-11089.8,88.6039,0.018641,7.4
7400,-11053.9,42.9676,-11096.8,108.985,0.0152581,7.5
7500,-11053.3,51.1611,-11104.5,129.766,0.0115848,7.6
7600,-11052.8,47.3957,-11100.2,120.23,0.0110798,7.7
7700,-11052.2,45.1349,-11097.3,114.483,0.0109932,7.8
7800,-11051.5,32.5466,-11084.1,82.5578,0.0120022,7.9
7900,-11050.8,43.1288,-11094,109.398,0.0148613,8
8000,-11049.8,38.803,-11088.6,98.4275,0.0193457,8.1
8100,-11048.5,28.5417,-11077,72.402,0.0201179,8.2
8200,-11047.6,54.6869,-11102.3,138.709,0.0168061,8.3
8300,-11046.8,48.7364,-11095.5,123.629,0.0146626,8.4
8400,-11046.1,34.8968,-11081,88.5139,0.0124492,8.5
8500,-11045.5,41.251,-11086.8,104.637,0.0121955,8.6
8600,-11044.9,53.6829,-11098.6,136.15,0.011673,8.7
8700,-11044.2,27.552,-11071.8,69.8953,0.0149475,8.8
8800,-11043.1,44.1832,-11087.3,112.071,0.0195587,8.9
8900,-11041.9,50.7968,-11092.7,128.845,0.0211995,9
9000,-11040.7,39.0236,-11079.7,98.9849,0.0199609,9.1
9100,-11039.8,53.1583,-11093,134.832,0.0164592,9.2
9200,-11039,36.2952,-11075.3,92.0665,0.0157869,9.3
9300,-11038.2,41.0334,-11079.2,104.075,0.0131978,9.4
9400,-11037.7,37.9299,-11075.7,96.2038,0.0109907,9.5
9500,-11037.1,57.8203,-11094.9,146.665,0.0148008,9.6
9600,-11036,37.8612,-11073.9,96.042,0.0154029,9.7
9700,-11035.2,30.4661,-11065.7,77.2801,0.0182691,9.8
9800,-11034,42.9991,-11077,109.068,0.0183121,9.9
9900,-11033.2,53.7298,-11086.9,136.294,0.0166612,10
10000,-11032.3,41.8766,-11074.1,106.225,0.0177879,10.1
10100,-11031.4,41.1075,-11072.5,104.274,0.0123119,10.2
10200,-11031,38.0692,-11069.1,96.5546,0.00938534,10.3
10300,-11030.5,35.0179,-11065.5,88.8182,0.0124278,10.4
10400,-11029.6,53.5455,-11083.2,135.825,0.0161437,10.5
10500,-11028.6,44.5665,-11073.2,113.045,0.0160066,10.6
10600,-11027.7,24.8057,-11052.5,62.9179,0.0176397,10.7
10700,-11026.7,38.2848,-11065,97.1102,0.0187943,10.8
10800,-11025.8,54.8555,-11080.6,139.145,0.0145674,10.9
10900,-11025.1,35.9775,-11061.1,91.2598,0.0130519,11
11000,-11024.5,36.195,-11060.7,91.8092,0.0106159,11.1
11100,-11024.2,45.2035,-11069.4,114.661,0.00920687,11.2
11200,-11023.5,42.399,-11065.9,107.545,0.0149146,11.3
