Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress,Strain
0,-192717,0.645956,-192718,0.0970359,1.24197e-05,0.05
100,-192717,0.855235,-192717,0.128474,0.000855942,0.1
200,-192716,0.923384,-192717,0.138711,0.00119038,0.15
300,-192716,1.02095,-192717,0.153367,0.00148829,0.2
400,-192715,1.30628,-192716,0.19623,0.00171993,0.25
500,-192715,1.55259,-192716,0.233231,0.00189508,0.3
600,-192714,1.36525,-192715,0.205088,0.00216567,0.35
700,-192713,1.17201,-192715,0.17606,0.00235969,0.4
800,-192713,1.00132,-192714,0.150418,0.00254339,0.45
900,-192712,0.717788,-192713,0.107826,0.00277044,0.5
1000,-192711,0.609787,-192712,0.0916025,0.00289166,0.55
1100,-192710,0.900253,-192711,0.135236,0.00303289,0.6
1200,-192709,1.0823,-192710,0.162583,0.00314619,0.65
1300,-192708,1.02665,-192709,0.154224,0.0031189,0.7
1400,-192707,1.65263,-192709,0.248259,0.00313291,0.75
1500,-192707,2.51388,-192709,0.377635,0.00312055,0.8
1600,-192706,2.89463,-192709,0.434832,0.00298957,0.85
1700,-192705,2.88185,-192708,0.432913,0.00291339,0.9
1800,-192704,3.11754,-192707,0.468317,0.00282076,0.95
1900,-192703,3.18736,-192706,0.478806,0.00267544,1
2000,-192703,2.74932,-192705,0.413003,0.00262026,1.05
2100,-192702,2.38252,-192704,0.357902,0.0025131,1.1
2200,-192701,1.99721,-192703,0.300022,0.00238693,1.15
2300,-192700,1.36252,-192702,0.204677,0.0023667,1.2
2400,-192700,0.847584,-192701,0.127324,0.00228842,1.25
2500,-192699,0.955693,-192700,0.143565,0.00228256,1.3
2600,-192699,0.945495,-192699,0.142032,0.00237661,1.35
2700,-192698,0.998329,-192699,0.149969,0.00240684,1.4
2800,-192697,1.05496,-192698,0.158476,0.00255176,1.45
2900,-192696,1.37498,-192698,0.206551,0.0027312,1.5
3000,-192695,1.6934,-192697,0.254382,0.00288088,1.55
