Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress,Strain
0,-25767.8,0.240921,-25768,0.26819,3.86765e-05,0.05
100,-25767.5,0.285542,-25767.8,0.317842,0.00248954,0.1
200,-25767.2,0.210724,-25767.4,0.234573,0.00328489,0.15
300,-25766.9,0.136298,-25767.1,0.151722,0.00374812,0.2
400,-25766.6,0.197905,-25766.8,0.220295,0.00391544,0.25
500,-25766.4,0.215047,-25766.6,0.239383,0.00391853,0.3
600,-25766.1,0.190416,-25766.3,0.211961,0.00408423,0.35
700,-25765.8,0.173224,-25766,0.192827,0.00420025,0.4
800,-25765.5,0.118836,-25765.6,0.132281,0.00433127,0.45
900,-25765.1,0.117322,-25765.3,0.130597,0.00453586,0.5
1000,-25764.8,0.213834,-25765,0.238033,0.00474518,0.55
1100,-25764.5,0.240205,-25764.7,0.267388,0.00493304,0.6
1200,-25764.1,0.194191,-25764.3,0.216163,0.0050511,0.65
1300,-25763.7,0.154117,-25763.9,0.171553,0.00513564,0.7
1400,-25763.4,0.200688,-25763.6,0.223393,0.0051798,0.75
1500,-25763,0.277865,-25763.3,0.309311,0.00526608,0.8
1600,-25762.6,0.33391,-25762.9,0.371688,0.00528289,0.85
1700,-25762.2,0.26598,-25762.5,0.296079,0.00520491,0.9
1800,-25761.9,0.155604,-25762,0.173203,0.00524548,0.95
1900,-25761.5,0.163372,-25761.6,0.181855,0.00527342,1
2000,-25761.1,0.251206,-25761.4,0.279632,0.00535904,1.05
2100,-25760.7,0.26525,-25761,0.295269,0.00549459,1.1
2200,-25760.3,0.224508,-25760.5,0.249914,0.0055961,1.15
2300,-25759.9,0.182659,-25760.1,0.203323,0.00584069,1.2
2400,-25759.5,0.159554,-25759.6,0.177604,0.00594836,1.25
2500,-25759,0.200894,-25759.2,0.223632,0.00602134,1.3
2600,-25758.6,0.288907,-25758.9,0.321589,0.0062438,1.35
2700,-25758.1,0.289103,-25758.4,0.321824,0.00629396,1.4
