Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress,Strain
0,-191325,657.166,-191982,98.7198,4.63519e-05,0.05
100,-191323,647.269,-191971,97.2328,0.00245289,0.1
200,-191323,674.675,-191997,101.35,0.00329514,0.15
300,-191321,645.776,-191967,97.0086,0.00457822,0.2
400,-191320,617.122,-191937,92.7044,0.00506743,0.25
500,-191318,643.413,-191961,96.6539,0.00628748,0.3
600,-191316,711.912,-192028,106.943,0.00716787,0.35
700,-191314,650.255,-191964,97.6814,0.00589968,0.4
800,-191313,656.087,-191969,98.5576,0.00521185,0.45
900,-191311,730.949,-192042,109.803,0.00449396,0.5
1000,-191310,780.942,-192091,117.314,0.00305181,0.55
1100,-191310,690.956,-192001,103.796,0.00248151,0.6
1200,-191309,684.719,-191994,102.859,0.00143978,0.65
1300,-191309,713.132,-192022,107.127,0.000552369,0.7
1400,-191309,675.059,-191984,101.407,-4.56109e-05,0.75
1500,-191309,781.255,-192091,117.36,-0.000742244,0.8
1600,-191310,684.537,-191994,102.831,-0.00123836,0.85
1700,-191310,738.886,-192049,110.996,-0.00104367,0.9
1800,-191310,664.498,-191975,99.8209,-0.000250346,0.95
1900,-191310,617.124,-191927,92.7047,-0.000213165,1
2000,-191310,730.408,-192041,109.722,0.00039399,1.05
2100,-191310,722.029,-192032,108.464,0.00139537,1.1
2200,-191309,681.923,-191991,102.439,0.00110183,1.15
2300,-191309,727.258,-192037,109.249,0.000521199,1.2
2400,-191309,658.426,-191967,98.9088,0.00143571,1.25
2500,-191308,732.597,-192041,110.051,0.0030921,1.3
2600,-191307,651.801,-191959,97.9135,0.00451131,1.35
2700,-191305,717.784,-192023,107.826,0.00565875,1.4
2800,-191303,590.751,-191894,88.7427,0.00650716,1.45
2900,-191301,683.537,-191985,102.681,0.00689299,1.5
3000,-191299,610.365,-191910,91.6891,0.00686222,1.55
3100,-191297,677.304,-191975,101.745,0.00687424,1.6
3200,-191295,677.015,-191972,101.701,0.00690384,1.65
3300,-191293,633.638,-191927,95.1853,0.00668347,1.7
3400,-191292,743.982,-192036,111.761,0.00598863,1.75
3500,-191290,656.146,-191946,98.5662,0.00491986,1.8
3600,-191289,696.722,-191986,104.662,0.00479208,1.85
3700,-191288,727.483,-192015,109.283,0.00378064,1.9
3800,-191287,697.688,-191985,104.807,0.00310116,1.95
3900,-191286,723.596,-192010,108.699,0.00324346,2
4000,-191285,711.462,-191997,106.876,0.00294623,2.05
4100,-191284,674.934,-191959,101.389,0.00268415,2.1
4200,-191284,737.39,-192021,110.771,0.00209353,2.15
4300,-191283,687.38,-191971,103.258,0.00120516,2.2
4400,-191283,662.843,-191946,99.5726,0.000626266,2.25
4500,-191283,718.029,-192001,107.863,0.000131729,2.3
4600,-191283,741.58,-192025,111.401,-5.07067e-05,2.35
4700,-191283,716.759,-192000,107.672,0.00125305,2.4
4800,-191282,675.14,-191958,101.42,0.0020811,2.45
4900,-191282,711.416,-191993,106.869,0.00274332,2.5
5000,-191281,727.944,-192009,109.352,0.00369005,2.55
5100,-191279,704.601,-191984,105.846,0.00430555,2.6
5200,-191278,684.751,-191963,102.864,0.00507806,2.65
5300,-191276,656.219,-191932,98.5773,0.00593226,2.7
5400,-191274,671.388,-191946,100.856,0.00649464,2.75
5500,-191272,618.978,-191891,92.983,0.00716979,2.8
5600,-191270,713.604,-191984,107.198,0.00719676,2.85
5700,-191268,647.198,-191915,97.2222,0.00687355,2.9
5800,-191266,687.396,-191954,103.261,0.00721622,2.95
5900,-191264,626.562,-191891,94.1224,0.00691279,3
6000,-191262,658.984,-191921,98.9926,0.00719894,3.05
6100,-191260,748.241,-192008,112.401,0.00754753,3.1
6200,-191258,741.42,-191999,111.376,0.00714443,3.15
6300,-191256,605.225,-191861,90.9168,0.00684393,3.2
6400,-191254,741.27,-191995,111.353,0.00630363,3.25
6500,-191253,789.101,-192042,118.539,0.00520038,3.3
6600,-191251,689.363,-191941,103.556,0.0035584,3.35
6700,-191251,717.305,-191968,107.754,0.00256939,3.4
6800,-191250,669.017,-191919,100.5,0.002324,3.45
6900,-191250,682.862,-191933,102.579,0.00227375,3.5
7000,-191249,771.305,-192020,115.866,0.00226246,3.55
7100,-191248,716.636,-191965,107.653,0.00202156,3.6
7200,-191248,658.884,-191907,98.9778,0.00216256,3.65
7300,-191247,674.181,-191921,101.276,0.00248432,3.7
7400,-191246,694.236,-191941,104.288,0.00266678,3.75
7500,-191245,688.448,-191934,103.419,0.0035,3.8
7600,-191244,799.665,-192044,120.126,0.00379701,3.85
7700,-191243,612.147,-191855,91.9569,0.00425814,3.9
7800,-191242,738.664,-191980,110.962,0.00524325,3.95
7900,-191240,676.121,-191916,101.567,0.00555724,4
8000,-191238,662.384,-191901,99.5034,0.00648666,4.05
8100,-191236,729.522,-191966,109.589,0.00728181,4.1
8200,-191234,618.072,-191852,92.8469,0.00829118,4.15
8300,-191231,633.849,-191865,95.2169,0.00856164,4.2
8400,-191229,652.32,-191881,97.9915,0.00887855,4.25
8500,-191226,683.354,-191909,102.654,0.0094503,4.3
8600,-191223,643.347,-191867,96.6437,0.00954089,4.35
8700,-191221,666.531,-191887,100.127,0.00856439,4.4
8800,-191219,738.196,-191957,110.892,0.00729566,4.45
8900,-191217,674.734,-191892,101.359,0.00688764,4.5
9000,-191215,750.216,-191965,112.698,0.00642208,4.55
9100,-191213,720.623,-191934,108.252,0.00532331,4.6
9200,-191212,647.408,-191859,97.2538,0.00494318,4.65
9300,-191211,712.456,-191923,107.025,0.00395988,4.7
9400,-191210,804.226,-192014,120.811,0.00335338,4.75
9500,-191209,672.595,-191882,101.037,0.00377328,4.8
9600,-191208,672.278,-191880,100.99,0.00361386,4.85
9700,-191207,758.449,-191965,113.935,0.00331606,4.9
9800,-191206,674.21,-191880,101.28,0.00254785,4.95
9900,-191206,694.961,-191901,104.397,0.00200712,5
10000,-191205,704.771,-191910,105.871,0.00213392,5.05
10100,-191204,717.158,-191921,107.732,0.00257961,5.1
10200,-191203,712.82,-191916,107.08,0.0033749,5.15
10300,-191202,676.707,-191879,101.655,0.0045379,5.2
10400,-191201,726.5,-191927,109.135,0.00563587,5.25
10500,-191198,630.242,-191829,94.6751,0.0073312,5.3
10600,-191196,742.907,-191939,111.6,0.00775995,5.35
10700,-191194,653.957,-191848,98.2375,0.00842073,5.4
10800,-191191,621.191,-191812,93.3157,0.00896781,5.45
10900,-191189,708.034,-191897,106.361,0.008556,5.5
11000,-191186,709.528,-191896,106.586,0.00912936,5.55
11100,-191183,614.187,-191798,92.2634,0.00938976,5.6
11200,-191181,694.958,-191876,104.397,0.00877529,5.65
11300,-191178,623.776,-191802,93.7039,0.00834093,5.7
11400,-191176,724.999,-191901,108.91,0.00805696,5.75
11500,-191174,713.31,-191887,107.154,0.0079931,5.8
11600,-191172,683.561,-191855,102.685,0.00822828,5.85
11700,-191169,710.149,-191879,106.679,0.00803955,5.9
11800,-191167,712.922,-191880,107.095,0.00720628,5.95
11900,-191165,712.204,-191878,106.988,0.0063103,6
12000,-191164,740.431,-191904,111.228,0.00488377,6.05
12100,-191163,706.104,-191869,106.071,0.00345153,6.1
12200,-191162,715.598,-191878,107.497,0.00291938,6.15
12300,-191161,718.103,-191880,107.874,0.00292338,6.2
12400,-191161,689.719,-191850,103.61,0.00272133,6.25
12500,-191160,700.647,-191860,105.251,0.00382524,6.3
12600,-191158,664.489,-191823,99.8198,0.00444613,6.35
12700,-191157,680.408,-191837,102.211,0.00482433,6.4
12800,-191155,691.378,-191847,103.859,0.00570101,6.45
12900,-191154,739.054,-191893,111.021,0.006007,6.5
13000,-191152,776.389,-191928,116.629,0.0064604,6.55
13100,-191150,632.246,-191782,94.9762,0.00705783,6.6
13200,-191148,694.787,-191843,104.371,0.00748466,6.65
13300,-191145,661.124,-191806,99.3142,0.00806809,6.7
13400,-191143,691.586,-191834,103.89,0.00836066,6.75
13500,-191140,650.824,-191791,97.7669,0.00876647,6.8
13600,-191138,670.799,-191809,100.767,0.00963463,6.85
13700,-191135,657.044,-191792,98.7015,0.0108904,6.9
13800,-191131,665.886,-191797,100.03,0.0113835,6.95
13900,-191128,617.536,-191746,92.7664,0.0110649,7
14000,-191125,762.796,-191888,114.587,0.0104994,7.05
14100,-191122,637.128,-191759,95.7095,0.00964252,7.1
14200,-191120,759.974,-191880,114.164,0.00842889,7.15
14300,-191118,685.662,-191803,103,0.00723895,7.2
14400,-191116,798.945,-191915,120.018,0.00638912,7.25
14500,-191114,664.788,-191779,99.8645,0.00625463,7.3
14600,-191113,732.109,-191845,109.978,0.00577066,7.35
14700,-191111,724.471,-191836,108.831,0.00545698,7.4
14800,-191110,633.824,-191743,95.2133,0.0053867,7.45
14900,-191108,726.343,-191834,109.112,0.00529314,7.5
15000,-191107,737.255,-191844,110.751,0.00497968,7.55
15100,-191105,704.448,-191810,105.822,0.00462904,7.6
15200,-191104,707.504,-191812,106.281,0.00421005,7.65
15300,-191103,691.883,-191795,103.935,0.0044853,7.7
15400,-191102,714.026,-191816,107.261,0.00489036,7.75
15500,-191100,751.902,-191852,112.951,0.00490176,7.8
15600,-191099,659.419,-191758,99.0581,0.00586643,7.85
15700,-191096,712.339,-191809,107.008,0.00725982,7.9
15800,-191094,721.152,-191815,108.331,0.00851147,7.95
15900,-191091,628.682,-191720,94.4407,0.0100665,8
16000,-191088,686.601,-191775,103.141,0.010486,8.05
16100,-191085,676.918,-191762,101.687,0.0102722,8.1
16200,-191082,609.941,-191692,91.6256,0.0102626,8.15
16300,-191079,776.791,-191856,116.69,0.0104924,8.2
16400,-191076,555.344,-191631,83.4238,0.0100255,8.25
16500,-191074,725.698,-191799,109.014,0.00977085,8.3
16600,-191071,601.788,-191673,90.4007,0.00947255,8.35
16700,-191068,697.935,-191766,104.844,0.00952623,8.4
16800,-191065,766.575,-191832,115.155,0.00962752,8.45
16900,-191063,715.871,-191779,107.538,0.00921358,8.5
17000,-191060,612.854,-191673,92.063,0.00863607,8.55
17100,-191058,792.047,-191850,118.982,0.00840224,8.6
17200,-191056,670.797,-191726,100.767,0.00747427,8.65
17300,-191054,762.932,-191817,114.608,0.00640596,8.7
17400,-191052,693.002,-191745,104.103,0.00560329,8.75
17500,-191051,722.963,-191774,108.604,0.00463455,8.8
17600,-191050,722.904,-191773,108.595,0.00402191,8.85
17700,-191049,740.07,-191789,111.173,0.00418998,8.9
17800,-191047,655.965,-191703,98.5395,0.00491889,8.95
17900,-191046,716.728,-191763,107.667,0.00562607,9
18000,-191044,666.789,-191711,100.165,0.00629848,9.05
18100,-191042,731.718,-191774,109.919,0.00709785,9.1
18200,-191040,686.5,-191726,103.126,0.00750574,9.15
18300,-191038,765.267,-191803,114.958,0.0079926,9.2
18400,-191035,641.891,-191677,96.4249,0.00809374,9.25
18500,-191033,724.101,-191757,108.775,0.00903469,9.3
18600,-191030,695.327,-191725,104.452,0.0100027,9.35
18700,-191027,703.313,-191730,105.652,0.00998833,9.4
18800,-191024,582,-191606,87.4281,0.0103457,9.45
18900,-191021,729.636,-191751,109.606,0.0108432,9.5
19000,-191018,658.921,-191677,98.9831,0.0106957,9.55
19100,-191015,636.612,-191651,95.6319,0.0115541,9.6
19200,-191011,606.161,-191617,91.0577,0.0116344,9.65
19300,-191008,706.851,-191715,106.183,0.0112129,9.7
19400,-191005,687.141,-191692,103.223,0.0106318,9.75
19500,-191002,779.62,-191782,117.115,0.00951216,9.8
19600,-191000,718.989,-191719,108.007,0.00866005,9.85
19700,-190998,786.883,-191784,118.206,0.00774539,9.9
19800,-190996,611.289,-191607,91.8279,0.00645705,9.95
19900,-190994,752.372,-191746,113.022,0.0058964,10
20000,-190992,758.436,-191751,113.932,0.00584024,10.05
20100,-190991,667.302,-191658,100.242,0.00622202,10.1
20200,-190989,716.744,-191706,107.67,0.0059182,10.15
20300,-190987,669.53,-191657,100.577,0.00574022,10.2
20400,-190986,679.443,-191665,102.066,0.00551011,10.25
20500,-190984,697.986,-191682,104.851,0.00552413,10.3
20600,-190983,719.544,-191702,108.09,0.00584878,10.35
20700,-190981,625.798,-191607,94.0074,0.00617258,10.4
20800,-190979,721.098,-191700,108.324,0.00655131,10.45
20900,-190977,780.135,-191757,117.192,0.00735729,10.5
21000,-190975,688.178,-191663,103.378,0.00789211,10.55
