Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress,Strain
0,-192717,0.645956,-192718,0.0970359,1.24197e-05,0.1
100,-192716,0.866088,-192717,0.130104,0.000929849,0.2
200,-192715,0.880234,-192716,0.132229,0.00135537,0.3
300,-192714,0.895141,-192715,0.134468,0.00174528,0.4
400,-192713,1.08652,-192714,0.163218,0.00206013,0.5
500,-192712,1.22139,-192713,0.183477,0.00230763,0.6
600,-192710,0.972659,-192711,0.146113,0.00264171,0.7
700,-192709,0.813787,-192709,0.122247,0.00288747,0.8
800,-192707,0.798208,-192708,0.119907,0.00311364,0.9
900,-192705,0.800026,-192706,0.12018,0.00337459,1
1000,-192703,1.06087,-192704,0.159364,0.00351973,1.1
1100,-192701,1.81572,-192702,0.272758,0.00367819,1.2
1200,-192698,2.49714,-192701,0.37512,0.00380152,1.3
1300,-192696,2.85597,-192699,0.429025,0.00377749,1.4
1400,-192694,3.80076,-192698,0.570952,0.00379153,1.5
1500,-192692,4.86671,-192697,0.731077,0.00377556,1.6
1600,-192690,5.27315,-192695,0.792135,0.00364047,1.7
1700,-192688,5.11495,-192693,0.768369,0.0035644,1.8
1800,-192686,5.09474,-192691,0.765333,0.00347647,1.9
1900,-192684,4.85377,-192689,0.729136,0.00334785,2
2000,-192682,4.11404,-192686,0.618012,0.00332451,2.1
2100,-192680,3.47537,-192684,0.52207,0.00326082,2.2
2200,-192678,2.91999,-192681,0.438643,0.00319528,2.3
2300,-192677,2.22118,-192679,0.333665,0.00324275,2.4
2400,-192675,1.67355,-192676,0.251401,0.00323288,2.5
2500,-192673,1.82405,-192675,0.27401,0.00330417,2.6
2600,-192671,1.93431,-192673,0.290571,0.00347072,2.7
2700,-192669,2.04665,-192671,0.307449,0.00357417,2.8
2800,-192667,2.10609,-192669,0.316377,0.00379714,2.9
2900,-192664,2.35163,-192667,0.353263,0.00404276,3
3000,-192662,2.58767,-192664,0.388721,0.00425919,3.1
3100,-192659,2.66078,-192662,0.399702,0.00457542,3.2
3200,-192656,2.59351,-192659,0.389598,0.00481621,3.3
3300,-192654,2.2734,-192656,0.341511,0.00503573,3.4
3400,-192651,2.24479,-192653,0.337212,0.00528081,3.5
3500,-192647,2.59256,-192650,0.389457,0.00543068,3.6
3600,-192644,2.8123,-192647,0.422463,0.00556278,3.7
3700,-192641,3.12252,-192644,0.469065,0.00566468,3.8
3800,-192638,3.89344,-192642,0.584874,0.00570168,3.9
3900,-192635,4.62028,-192639,0.694057,0.00569434,4
4000,-192631,5.16265,-192636,0.775536,0.00567671,4.1
4100,-192628,5.89804,-192634,0.886005,0.00565196,4.2
4200,-192625,6.51325,-192631,0.97842,0.0055581,4.3
4300,-192622,6.3436,-192628,0.952939,0.00545011,4.4
4400,-192619,5.81578,-192625,0.873647,0.00532214,4.5
4500,-192616,5.5442,-192621,0.832851,0.00519601,4.6
4600,-192613,4.96223,-192618,0.745428,0.00510067,4.7
4700,-192610,3.86103,-192614,0.580004,0.00496707,4.8
4800,-192607,2.93421,-192610,0.440778,0.00490342,4.9
4900,-192604,2.4606,-192607,0.369633,0.00489196,5
5000,-192602,2.03027,-192604,0.304988,0.00488098,5.1
5100,-192599,1.60108,-192600,0.240515,0.00497034,5.2
5200,-192596,1.66013,-192598,0.249386,0.00510584,5.3
5300,-192593,1.75027,-192595,0.262926,0.00525476,5.4
5400,-192590,1.70023,-192592,0.25541,0.00545794,5.5
5500,-192587,1.76893,-192588,0.265729,0.00569072,5.6
5600,-192583,1.87134,-192585,0.281113,0.00590093,5.7
5700,-192580,1.58438,-192581,0.238006,0.00614736,5.8
5800,-192576,1.35796,-192577,0.203993,0.00639136,5.9
5900,-192572,1.03462,-192573,0.155421,0.00654927,6
6000,-192568,0.886108,-192569,0.133112,0.00677893,6.1
6100,-192564,0.920647,-192565,0.138299,0.0069603,6.2
6200,-192560,1.29653,-192562,0.194765,0.00707837,6.3
6300,-192556,1.67456,-192558,0.251553,0.00725087,6.4
6400,-192552,2.11875,-192554,0.318279,0.00724612,6.5
6500,-192548,3.0659,-192551,0.460562,0.00725289,6.6
6600,-192544,4.02957,-192548,0.605321,0.00727662,6.7
6700,-192540,4.4325,-192544,0.665852,0.0071304,6.8
6800,-192536,4.60197,-192540,0.691309,0.00706237,6.9
6900,-192532,4.84769,-192537,0.728221,0.00692778,7
7000,-192528,4.55864,-192532,0.684802,0.00675817,7.1
7100,-192524,3.88067,-192528,0.582954,0.00670154,7.2
7200,-192520,3.23894,-192524,0.486555,0.00656285,7.3
7300,-192517,2.58335,-192519,0.388071,0.00649581,7.4
7400,-192513,1.61927,-192515,0.243247,0.00650212,7.5
7500,-192509,0.931109,-192510,0.139872,0.00646054,7.6
7600,-192506,0.866618,-192507,0.130183,0.00650667,7.7
7700,-192502,0.91859,-192503,0.137991,0.00661919,7.8
7800,-192498,0.700714,-192499,0.105261,0.00670874,7.9
7900,-192494,0.670198,-192495,0.100678,0.00685175,8
8000,-192490,0.952895,-192491,0.143144,0.00705835,8.1
